Date,GGAL,YPF,PAM,BBAR,BMA
2022-09-14,7.579847812652588,7.300000190734863,26.760000228881836,2.5536882877349854,13.236795425415039
2022-09-15,7.28420877456665,6.670000076293945,25.34000015258789,2.437258720397949,12.797919273376465
2022-09-16,7.259572982788086,6.96999979019165,25.010000228881836,2.4683070182800293,12.821432113647461
2022-09-19,7.620909690856934,7.210000038146973,25.940000534057617,2.5769739151000977,13.448397636413574
2022-09-20,7.48951530456543,7.159999847412109,25.40999984741211,2.6080217361450195,13.127076148986816
2022-09-21,7.259572982788086,6.820000171661377,24.84000015258789,2.5381641387939453,12.860617637634277
2022-09-22,7.185662269592285,6.920000076293945,24.649999618530273,2.530402183532715,12.774407386779785
2022-09-23,6.865387439727783,6.230000019073486,23.719999313354492,2.3578569889068604,12.431710243225098
2022-09-26,6.462989807128906,6.25,22.40999984741211,2.2797820568084717,11.730555534362793
2022-09-27,6.167351722717285,6.210000038146973,22.450000762939453,2.2953972816467285,11.423308372497559
2022-09-28,6.249473571777344,6.389999866485596,22.969999313354492,2.3344345092773438,11.383916854858398
2022-09-29,6.175563335418701,6.21999979019165,23.079999923706055,2.36566424369812,11.336647033691406
2022-09-30,6.200499534606934,6.210000038146973,22.770000457763672,2.3500494956970215,11.242110252380371
2022-10-03,6.6742634773254395,6.820000171661377,24.110000610351562,2.5061991214752197,12.148098945617676
2022-10-04,6.707509517669678,6.929999828338623,23.780000686645508,2.5686588287353516,12.31353759765625
2022-10-05,6.599458694458008,7.400000095367432,23.969999313354492,2.537428617477417,12.108708381652832
2022-10-06,6.458160400390625,7.210000038146973,24.239999771118164,2.498391628265381,11.880240440368652
2022-10-07,6.399978160858154,7.190000057220459,23.729999542236328,2.43593168258667,11.59662914276123
2022-10-10,6.333485126495361,6.880000114440918,23.65999984741211,2.428124189376831,11.494211196899414
2022-10-11,6.2171220779418945,6.730000019073486,22.790000915527344,2.36566424369812,11.320893287658691
2022-10-12,6.034265518188477,6.599999904632568,22.260000228881836,2.311012029647827,11.076668739318848
2022-10-13,6.109070301055908,6.869999885559082,22.959999084472656,2.3578569889068604,11.273625373840332
2022-10-14,5.951149940490723,6.659999847412109,22.3799991607666,2.311012029647827,11.163330078125
2022-10-17,6.1921868324279785,7.070000171661377,23.0,2.373471975326538,11.454821586608887
2022-10-18,6.1921868324279785,6.940000057220459,23.100000381469727,2.373471975326538,11.565114974975586
2022-10-19,6.2088093757629395,7.039999961853027,23.280000686645508,2.3422422409057617,11.509968757629395
2022-10-20,6.350107669830322,7.050000190734863,23.200000762939453,2.3500494956970215,11.43118667602539
2022-10-21,6.516342639923096,7.170000076293945,23.549999237060547,2.4576194286346436,11.794772148132324
2022-10-24,6.441537380218506,7.389999866485596,23.360000610351562,2.379101037979126,11.501687049865723
2022-10-25,6.54958963394165,7.630000114440918,24.600000381469727,2.4340641498565674,11.83437728881836
2022-10-26,6.458160400390625,7.78000020980835,24.68000030517578,2.4026567935943604,11.652189254760742
2022-10-27,6.524653911590576,7.869999885559082,25.34000015258789,2.441915512084961,11.937356948852539
2022-10-28,6.325173377990723,7.639999866485596,25.3799991607666,2.371249198913574,11.620505332946777
2022-10-31,6.4498491287231445,7.639999866485596,25.170000076293945,2.3633978366851807,11.763089179992676
2022-11-01,6.807250499725342,8.260000228881836,26.350000381469727,2.5518410205841064,12.357184410095215
2022-11-02,6.516342639923096,7.929999828338623,25.34000015258789,2.4576194286346436,11.85814380645752
2022-11-03,6.532965660095215,8.119999885559082,25.489999771118164,2.4576194286346436,11.794772148132324
2022-11-04,6.641016006469727,8.039999961853027,25.90999984741211,2.473323345184326,11.95319652557373
2022-11-07,6.458160400390625,7.929999828338623,25.190000534057617,2.410508394241333,11.382867813110352
2022-11-08,6.41660213470459,7.75,26.299999237060547,2.4183602333068848,11.303653717041016
2022-11-09,6.1672515869140625,7.119999885559082,25.239999771118164,2.2613236904144287,10.638267517089844
2022-11-10,6.158941268920898,7.190000057220459,25.079999923706055,2.1985092163085938,10.495685577392578
2022-11-11,6.375042915344238,7.650000095367432,25.950000762939453,2.253471851348877,10.828376770019531
2022-11-14,6.383354663848877,8.039999961853027,26.860000610351562,2.22991681098938,10.844220161437988
2022-11-15,6.266992092132568,8.079999923706055,27.059999465942383,2.1749539375305176,10.551133155822754
2022-11-16,6.15062952041626,7.639999866485596,26.270000457763672,2.1199910640716553,10.376866340637207
2022-11-17,5.9927077293396,7.389999866485596,25.8700008392334,2.127842903137207,10.170912742614746
2022-11-18,6.059200286865234,7.360000133514404,26.290000915527344,2.127842903137207,10.242203712463379
